EmpleadoID,Nombre,Departamento,FechaIngreso,SalarioBase,Bono,HorasExtra,Deducciones,SalarioNeto
1,Empleado 001,TI,2023-06-07,2600,500,3,234.0,2866.0
2,Empleado 002,Finanzas,2024-02-17,4900,300,6,441.0,4759.0
3,Empleado 003,TI,2024-03-09,2400,300,13,216.0,2484.0
4,Empleado 004,Ventas,2023-04-14,1800,300,18,162.0,1938.0
5,Empleado 005,TI,2022-02-15,2400,200,0,216.0,2384.0
6,Empleado 006,RRHH,2024-05-14,1800,300,0,162.0,1938.0
7,Empleado 007,Finanzas,2025-02-06,3200,300,7,288.0,3212.0
8,Empleado 008,RRHH,2024-07-30,4000,100,9,360.0,3740.0
9,Empleado 009,Operaciones,2022-07-24,1900,300,5,171.0,2029.0
10,Empleado 010,Ventas,2024-10-22,3600,0,13,324.0,3276.0
11,Empleado 011,Ventas,2023-08-05,5000,100,18,450.0,4650.0
12,Empleado 012,Finanzas,2022-03-12,4900,500,15,441.0,4959.0
13,Empleado 013,Finanzas,2022-12-21,3300,300,11,297.0,3303.0
14,Empleado 014,Finanzas,2024-11-07,4100,0,3,369.0,3731.0
15,Empleado 015,Finanzas,2024-01-29,2800,500,15,252.0,3048.0
16,Empleado 016,TI,2023-09-24,1900,300,19,171.0,2029.0
17,Empleado 017,RRHH,2024-10-25,4300,100,7,387.0,4013.0
18,Empleado 018,Operaciones,2025-01-27,1800,100,7,162.0,1738.0
19,Empleado 019,Ventas,2025-03-29,4300,500,11,387.0,4413.0
20,Empleado 020,Operaciones,2022-01-12,4700,200,12,423.0,4477.0
21,Empleado 021,Operaciones,2025-02-23,5000,100,6,450.0,4650.0
22,Empleado 022,Finanzas,2024-01-17,4500,0,18,405.0,4095.0
23,Empleado 023,Finanzas,2024-09-20,3000,500,11,270.0,3230.0
24,Empleado 024,TI,2025-01-07,4400,200,17,396.0,4204.0
25,Empleado 025,Operaciones,2022-02-27,3900,300,7,351.0,3849.0
26,Empleado 026,Operaciones,2023-01-06,2900,500,2,261.0,3139.0
27,Empleado 027,TI,2022-06-20,3400,0,0,306.0,3094.0
28,Empleado 028,Ventas,2023-05-27,4600,0,8,414.0,4186.0
29,Empleado 029,RRHH,2023-12-07,2500,500,9,225.0,2775.0
30,Empleado 030,RRHH,2023-06-07,2200,100,16,198.0,2102.0
31,Empleado 031,Ventas,2024-07-20,2800,200,10,252.0,2748.0
32,Empleado 032,TI,2022-02-18,4900,300,9,441.0,4759.0
33,Empleado 033,Finanzas,2023-01-21,4200,200,8,378.0,4022.0
34,Empleado 034,Operaciones,2023-03-05,2400,200,19,216.0,2384.0
35,Empleado 035,RRHH,2022-02-06,4500,0,12,405.0,4095.0
36,Empleado 036,RRHH,2024-07-01,2700,0,16,243.0,2457.0
37,Empleado 037,RRHH,2024-11-23,4500,500,14,405.0,4595.0
38,Empleado 038,TI,2024-03-19,3200,500,18,288.0,3412.0
39,Empleado 039,TI,2023-09-04,3800,300,4,342.0,3758.0
40,Empleado 040,Ventas,2022-05-25,3100,0,2,279.0,2821.0
41,Empleado 041,RRHH,2024-05-02,3700,200,18,333.0,3567.0
42,Empleado 042,TI,2025-02-22,3400,100,1,306.0,3194.0
43,Empleado 043,Finanzas,2022-12-18,3100,500,19,279.0,3321.0
44,Empleado 044,Finanzas,2023-02-15,5000,0,11,450.0,4550.0
45,Empleado 045,Operaciones,2024-06-05,2400,100,18,216.0,2284.0
46,Empleado 046,TI,2024-03-09,3000,300,9,270.0,3030.0
47,Empleado 047,TI,2023-10-29,5000,300,19,450.0,4850.0
48,Empleado 048,TI,2022-11-18,4300,200,6,387.0,4113.0
49,Empleado 049,RRHH,2023-11-26,3800,500,13,342.0,3958.0
50,Empleado 050,TI,2024-02-16,3100,200,17,279.0,3021.0
51,Empleado 051,Finanzas,2024-12-26,4000,500,7,360.0,4140.0
52,Empleado 052,TI,2022-09-30,2200,0,5,198.0,2002.0
53,Empleado 053,RRHH,2023-07-03,2800,500,10,252.0,3048.0
54,Empleado 054,Ventas,2023-11-25,5000,200,10,450.0,4750.0
55,Empleado 055,RRHH,2024-09-28,2500,200,4,225.0,2475.0
56,Empleado 056,TI,2024-04-12,2400,200,2,216.0,2384.0
57,Empleado 057,RRHH,2023-11-30,4200,100,3,378.0,3922.0
58,Empleado 058,Operaciones,2025-01-31,4200,0,7,378.0,3822.0
59,Empleado 059,Ventas,2023-08-29,2300,200,18,207.0,2293.0
60,Empleado 060,Ventas,2022-08-09,2500,300,1,225.0,2575.0
61,Empleado 061,Operaciones,2022-01-30,3600,0,2,324.0,3276.0
62,Empleado 062,TI,2023-01-20,4400,0,7,396.0,4004.0
63,Empleado 063,TI,2024-07-12,4400,100,5,396.0,4104.0
64,Empleado 064,TI,2024-06-10,3300,100,12,297.0,3103.0
65,Empleado 065,Ventas,2024-09-03,3600,500,10,324.0,3776.0
66,Empleado 066,Ventas,2022-03-23,2400,100,0,216.0,2284.0
67,Empleado 067,Operaciones,2023-10-18,1800,200,14,162.0,1838.0
68,Empleado 068,Finanzas,2022-05-09,4300,200,2,387.0,4113.0
69,Empleado 069,Finanzas,2022-08-17,3800,500,8,342.0,3958.0
70,Empleado 070,Operaciones,2024-08-18,3100,500,11,279.0,3321.0
71,Empleado 071,Operaciones,2023-03-02,3400,100,9,306.0,3194.0
72,Empleado 072,Ventas,2022-06-16,3000,100,8,270.0,2830.0
73,Empleado 073,TI,2025-03-22,2300,300,20,207.0,2393.0
74,Empleado 074,Finanzas,2023-09-21,3900,100,1,351.0,3649.0
75,Empleado 075,Ventas,2025-03-31,3800,100,9,342.0,3558.0
76,Empleado 076,TI,2025-01-19,3300,200,19,297.0,3203.0
77,Empleado 077,RRHH,2022-02-11,2300,100,7,207.0,2193.0
78,Empleado 078,Ventas,2025-02-02,4300,0,2,387.0,3913.0
79,Empleado 079,TI,2023-08-19,2200,0,11,198.0,2002.0
80,Empleado 080,RRHH,2022-07-26,4900,300,16,441.0,4759.0
